See https://www.sciencedirect.com/science/article/abs/pii/S0019103523004001
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
L7, M34, 880-nm
Generated: Wed Sep 20 10:01:49 2023
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1938
*************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma
1175ML0053260020502503D01_DXXX,1175.5459,  73.5, 0.537, 0.030
1176ML0053270020502506D01_DXXX,1176.3480,  73.9, 0.515, 0.018
1182ML0053540020502593D01_DXXX,1182.5071,  76.6, 0.477, 0.031
1187ML0053780020502733D01_DXXX,1187.3544,  78.8, 0.521, 0.019
1188ML0053850020502770D01_DXXX,1188.5460,  79.3, 0.529, 0.029
1194ML0054140020502882D01_DXXX,1194.3707,  81.9, 0.544, 0.021
1195ML0054220020502916D01_DXXX,1195.5236,  82.5, 0.500, 0.030
1197ML0054550020502944D01_DXXX,1197.4421,  83.3, 0.546, 0.029
1199ML0054930020503174D01_DXXX,1199.5555,  84.3, 0.618, 0.029
1201ML0055030020503232D01_DXXX,1201.5055,  85.2, 0.563, 0.031
1204ML0055480020503432D01_DXXX,1204.6041,  86.6, 0.480, 0.024
1214ML0055170020503468D01_DXXX,1214.5320,  91.0, 0.518, 0.030
1216ML0055270020503531D01_DXXX,1216.3431,  91.9, 0.505, 0.017
1216ML0055280020503534D01_DXXX,1216.5188,  92.0, 0.551, 0.030
1222ML0056020020503650D01_DXXX,1222.4327,  94.6, 0.609, 0.028
1222ML0056050020503674D01_DXXX,1222.5441,  94.7, 0.576, 0.029
1229ML0056580020503746D01_DXXX,1229.5673,  97.9, 0.532, 0.028
1234ML0057090020503844D01_DXXX,1234.5469, 100.2, 0.512, 0.029
1235ML0057170020503868D01_DXXX,1235.3170, 100.5, 0.520, 0.014
1237ML0057380020503937D01_DXXX,1237.6855, 101.6, 0.515, 0.013
1238ML0057410020503940D01_DXXX,1238.4967, 102.0, 0.535, 0.031
1241ML0057580020503952D01_DXXX,1241.6333, 103.5, 0.484, 0.020
1246ML0058120020503988D01_DXXX,1246.3551, 105.7, 0.532, 0.019
1246ML0058160020504018D01_DXXX,1246.5098, 105.7, 0.519, 0.031
1246ML0058210020504021D01_DXXX,1246.7162, 105.8, 0.440, 0.022
1253ML0058530020504119D01_DXXX,1253.5560, 109.0, 0.525, 0.029
1254ML0058590020504123D01_DXXX,1254.5425, 109.5, 0.504, 0.030
1258ML0058740020504175D01_DXXX,1258.3646, 111.3, 0.551, 0.020
1258ML0058760020504179D01_DXXX,1258.5309, 111.4, 0.500, 0.031
1258ML0058780020504183D01_DXXX,1258.6890, 111.4, 0.472, 0.013
1263ML0059070020504264D01_DXXX,1263.6283, 113.8, 0.466, 0.021
1263ML0059080020504267D01_DXXX,1263.6874, 113.8, 0.464, 0.013
1265ML0059170020504299D01_DXXX,1265.3569, 114.6, 0.472, 0.019
1265ML0059190020504303D01_DXXX,1265.5299, 114.6, 0.492, 0.031
1268ML0059370020504342D01_DXXX,1268.5122, 116.1, 0.446, 0.031
1268ML0059380030504345D01_DXXX,1268.6866, 116.1, 0.434, 0.014
1272ML0059500020504499D01_DXXX,1272.4304, 117.9, 0.489, 0.028
1272ML0059520030504503D01_DXXX,1272.5723, 118.0, 0.422, 0.028
1275ML0059740020504575D01_DXXX,1275.5806, 119.5, 0.455, 0.028
1277ML0059990020504698D01_DXXX,1277.5087, 120.4, 0.493, 0.032
1277ML0060000020504708D01_DXXX,1277.7063, 120.5, 0.408, 0.015
1280ML0060150020504756D01_DXXX,1280.3590, 121.8, 0.437, 0.020
1280ML0060160030504759D01_DXXX,1280.5032, 121.8, 0.412, 0.032
1286ML0060550020505043D01_DXXX,1286.3579, 124.6, 0.440, 0.020
1286ML0060560030505046D01_DXXX,1286.5179, 124.7, 0.452, 0.032
1286ML0060620020505054D01_DXXX,1286.6174, 124.8, 0.414, 0.023
1290ML0060870020505160D01_DXXX,1290.6990, 126.8, 0.380, 0.014
1291ML0060890020505186D01_DXXX,1291.5459, 127.2, 0.433, 0.031
1292ML0060910020505191D01_DXXX,1292.3136, 127.6, 0.451, 0.014
1292ML0060940020405197D01_DXXX,1292.5074, 127.7, 0.489, 0.032
1297ML0061590020405396D01_DXXX,1297.5873, 130.2, 0.416, 0.027
1299ML0061680020405483D01_DXXX,1299.5435, 131.1, 0.459, 0.031
1301ML0061840020405539D01_DXXX,1301.5460, 132.1, 0.456, 0.031
1302ML0061890020405570D01_DXXX,1302.3733, 132.5, 0.392, 0.023
1303ML0061950020405713D01_DXXX,1303.5253, 133.1, 0.471, 0.032
1306ML0062060020405761D01_DXXX,1306.3579, 134.5, 0.449, 0.020
1306ML0062080020405766D01_DXXX,1306.5161, 134.6, 0.483, 0.032
1309ML0062360020405805D01_DXXX,1309.6447, 136.2, 0.427, 0.020
1312ML0062520020405851D01_DXXX,1312.3850, 137.6, 0.410, 0.024
1312ML0062570020405877D01_DXXX,1312.5176, 137.6, 0.442, 0.033
1313ML0062630020405910D01_DXXX,1313.5487, 138.1, 0.420, 0.031
1314ML0062640020405914D01_DXXX,1314.3727, 138.6, 0.385, 0.023
1314ML0062690020405947D01_DXXX,1314.5576, 138.7, 0.435, 0.031
1319ML0063010020406019D01_DXXX,1319.4681, 141.2, 0.442, 0.032
1321ML0063040020406024D01_DXXX,1321.5055, 142.2, 0.457, 0.033
1326ML0063340020406123D01_DXXX,1326.5752, 144.8, 0.547, 0.030
1328ML0063690020406137D01_DXXX,1328.4995, 145.8, 0.617, 0.034
1331ML0063860020600009D01_DXXX,1331.4011, 147.3, 0.581, 0.027
1331ML0063900020600014D01_DXXX,1331.5825, 147.4, 0.605, 0.029
1333ML0063970020600042D01_DXXX,1333.5327, 148.4, 0.649, 0.033
1336ML0064100020600108D01_DXXX,1336.3953, 149.9, 0.695, 0.027
1336ML0064120020600113D01_DXXX,1336.5845, 150.0, 0.703, 0.029
1340ML0064260020600150D01_DXXX,1340.6401, 152.2, 0.794, 0.022
1343ML0064440020600213D01_DXXX,1343.4031, 153.6, 0.771, 0.028
1343ML0064460030600218D01_DXXX,1343.6353, 153.8, 0.783, 0.023
1345ML0064510020600248D01_DXXX,1345.5760, 154.8, 0.761, 0.030
1347ML0064580030600273D01_DXXX,1347.3210, 155.7, 0.624, 0.015
1347ML0064590020600276D01_DXXX,1347.5283, 155.8, 0.720, 0.034
1350ML0064890020600372D01_DXXX,1350.5330, 157.5, 0.812, 0.034
1350ML0064930020600383D01_DXXX,1350.6929, 157.5, 0.757, 0.014
1354ML0065670020600558D01_DXXX,1354.3617, 159.5, 0.748, 0.022
1354ML0065690020600563D01_DXXX,1354.4908, 159.6, 0.750, 0.034
1354ML0065710020600568D01_DXXX,1354.7064, 159.7, 0.751, 0.014
1356ML0066010020600747D01_DXXX,1356.6603, 160.8, 0.721, 0.019
1361ML0066550020600925D01_DXXX,1361.3514, 163.3, 0.779, 0.021
1361ML0066690020600930D01_DXXX,1361.5382, 163.5, 0.843, 0.034
1366ML0066810020600969D01_DXXX,1366.5168, 166.2, 0.838, 0.034
1370ML0067050020601164D01_DXXX,1370.5721, 168.5, 0.750, 0.032
1371ML0067070020601169D01_DXXX,1371.3586, 168.9, 0.769, 0.022
1371ML0067120020601174D01_DXXX,1371.5166, 169.0, 0.791, 0.035
1371ML0067190020601203D01_DXXX,1371.6993, 169.1, 0.756, 0.014
1379ML0067540020601349D01_DXXX,1379.3958, 173.4, 0.755, 0.028
1379ML0067560020601354D01_DXXX,1379.5670, 173.5, 0.734, 0.033
1383ML0067850020601436D01_DXXX,1383.6725, 175.9, 0.661, 0.017
1384ML0067870020601441D01_DXXX,1384.3503, 176.2, 0.729, 0.021
1384ML0067920020601443D01_DXXX,1384.4894, 176.3, 0.736, 0.035
1386ML0068020020601611D01_DXXX,1386.5312, 177.5, 0.764, 0.035
1398ML0068420020601684D01_DXXX,1398.6799, 184.5, 0.671, 0.016
1400ML0068500020601730D01_DXXX,1400.3524, 185.5, 0.769, 0.021
1400ML0068540020601735D01_DXXX,1400.4857, 185.6, 0.729, 0.035
1400ML0068600020601747D01_DXXX,1400.6500, 185.7, 0.672, 0.022
1402ML0068720020601801D01_DXXX,1402.5941, 186.9, 0.675, 0.031
1402ML0068750020601805D01_DXXX,1402.6915, 186.9, 0.598, 0.014
1404ML0068780020601836D01_DXXX,1404.5875, 188.0, 0.667, 0.031
1408ML0068910020601908D01_DXXX,1408.4091, 190.3, 0.812, 0.030
1408ML0068920020601912D01_DXXX,1408.5624, 190.4, 0.718, 0.034
1413ML0069140020602018D01_DXXX,1413.3253, 193.2, 0.789, 0.017
1413ML0069170020602020D01_DXXX,1413.5321, 193.4, 0.757, 0.035
1413ML0069190020602025D01_DXXX,1413.6841, 193.5, 0.702, 0.015
1415ML0069290020602044D01_DXXX,1415.6514, 194.7, 0.679, 0.022
1416ML0069310020602046D01_DXXX,1416.5513, 195.2, 0.742, 0.034
1417ML0069440020602056D01_DXXX,1417.3718, 195.7, 0.867, 0.025
1420ML0070030020602152D01_DXXX,1420.6656, 197.7, 0.698, 0.019
1421ML0070140020602205D01_DXXX,1421.5654, 198.2, 0.792, 0.034
1422ML0070170020602343D01_DXXX,1422.3409, 198.7, 0.840, 0.020
1426ML0070440020602394D01_DXXX,1426.3472, 201.2, 0.847, 0.021
1426ML0070460020602396D01_DXXX,1426.5063, 201.3, 0.751, 0.036
1426ML0070500020602403D01_DXXX,1426.6571, 201.3, 0.690, 0.021
1428ML0070610020602437D01_DXXX,1428.4987, 202.5, 0.753, 0.035
1429ML0070650020602446D01_DXXX,1429.5674, 203.1, 0.778, 0.033
1433ML0070770020602516D01_DXXX,1433.4021, 205.5, 0.884, 0.029
1433ML0070810020602520D01_DXXX,1433.5099, 205.6, 0.792, 0.036
1433ML0070840020602530D01_DXXX,1433.6345, 205.7, 0.780, 0.025
1437ML0071080020602581D01_DXXX,1437.5891, 208.1, 0.975, 0.031
1440ML0071220020602628D01_DXXX,1440.3595, 209.8, 0.977, 0.023
1440ML0071230020602629D01_DXXX,1440.6074, 210.0, 0.890, 0.029
1443ML0071360020602667D01_DXXX,1443.5476, 211.8, 0.971, 0.035
1447ML0071610020602711D01_DXXX,1447.3491, 214.2, 1.106, 0.021
1447ML0071630020602713D01_DXXX,1447.4866, 214.3, 0.980, 0.035
1447ML0071650020602718D01_DXXX,1447.6692, 214.4, 0.974, 0.018
1449ML0071770020602796D01_DXXX,1449.4862, 215.6, 1.044, 0.035
1454ML0071870020602951D01_DXXX,1454.5404, 218.8, 0.902, 0.035
1455ML0072020020602994D01_DXXX,1455.5129, 219.4, 0.978, 0.035
1456ML0072060020603007D01_DXXX,1456.5977, 220.1, 0.966, 0.030
1457ML0072120020603013D01_DXXX,1457.5011, 220.7, 1.023, 0.035
1458ML0072290020603016D01_DXXX,1458.3999, 221.2, 1.157, 0.028
1458ML0072300020603020D01_DXXX,1458.5067, 221.3, 1.083, 0.035
1459ML0072350020603045D01_DXXX,1459.5067, 221.9, 1.062, 0.035
1463ML0073140020603205D01_DXXX,1463.5354, 224.5, 1.096, 0.035
1467ML0073390020603281D01_DXXX,1467.4885, 227.0, 1.125, 0.035
1467ML0073440020603285D01_DXXX,1467.7009, 227.2, 1.023, 0.014
1468ML0073450020603289D01_DXXX,1468.3490, 227.6, 1.202, 0.021
1472ML0073750020603407D01_DXXX,1472.5170, 230.3, 1.161, 0.034
1476ML0074050020603469D01_DXXX,1476.3796, 232.8, 1.253, 0.025
1476ML0074060020603473D01_DXXX,1476.4994, 232.9, 1.164, 0.034
1480ML0074340020603523D01_DXXX,1480.5753, 235.5, 1.493, 0.031
1485ML0074610020603597D01_DXXX,1485.3044, 238.6, 1.281, 0.014
1486ML0074690020603633D01_DXXX,1486.6810, 239.5, 1.080, 0.016
1489ML0074780020603644D01_DXXX,1489.4608, 241.3, 1.023, 0.033
1492ML0075060020603672D01_DXXX,1492.3287, 243.2, 1.220, 0.017
1492ML0075110020603833D01_DXXX,1492.5070, 243.3, 1.049, 0.034
1493ML0075170020603845D01_DXXX,1493.6115, 244.0, 1.025, 0.027
1496ML0075700020603885D01_DXXX,1496.4922, 245.9, 1.043, 0.034
1499ML0075900020603920D01_DXXX,1499.3306, 247.7, 1.174, 0.017
1499ML0075950020603927D01_DXXX,1499.4904, 247.8, 1.086, 0.033
1502ML0076170020603972D01_DXXX,1502.4908, 249.8, 1.073, 0.033
1507ML0076510020604068D01_DXXX,1507.5110, 253.0, 0.962, 0.033
1507ML0076570020604085D01_DXXX,1507.6392, 253.1, 0.944, 0.023
1508ML0076590020604090D01_DXXX,1508.2961, 253.6, 1.062, 0.013
1513ML0076980020604206D01_DXXX,1513.3110, 256.8, 1.059, 0.014
1513ML0077010020604212D01_DXXX,1513.5125, 257.0, 0.943, 0.033
1515ML0077130020604230D01_DXXX,1515.5195, 258.3, 0.980, 0.033
1518ML0077250020604250D01_DXXX,1518.4456, 260.2, 1.013, 0.032
1518ML0077340020604259D01_DXXX,1518.5846, 260.3, 0.959, 0.030
1518ML0077360020604264D01_DXXX,1518.7113, 260.3, 0.954, 0.014
1522ML0077530020604289D01_DXXX,1522.2869, 262.7, 1.077, 0.014
1522ML0077560020604295D01_DXXX,1522.5009, 262.8, 0.962, 0.033
1525ML0077730020604346D01_DXXX,1525.5043, 264.8, 1.015, 0.033
1529ML0077860020604444D01_DXXX,1529.3713, 267.3, 1.086, 0.023
1529ML0077880020604446D01_DXXX,1529.4677, 267.3, 0.986, 0.032
1529ML0077960020604455D01_DXXX,1529.6224, 267.4, 0.923, 0.026
1532ML0078140020604476D01_DXXX,1532.5304, 269.3, 0.903, 0.033
1537ML0078750020604516D01_DXXX,1537.3984, 272.5, 0.924, 0.027
1537ML0078910020604563D01_DXXX,1537.5441, 272.6, 0.831, 0.032
1541ML0079110020604632D01_DXXX,1541.4956, 275.1, 0.815, 0.033
1544ML0079270020604655D01_DXXX,1544.3177, 276.9, 1.052, 0.015
1544ML0079320020604677D01_DXXX,1544.4862, 277.0, 0.894, 0.033
1544ML0079360020604682D01_DXXX,1544.6643, 277.2, 0.863, 0.019
1545ML0079380020604687D01_DXXX,1545.5331, 277.7, 0.863, 0.033
1551ML0079540020604712D01_DXXX,1551.3308, 281.4, 0.938, 0.017
1551ML0079560020604717D01_DXXX,1551.4346, 281.5, 0.831, 0.031
1554ML0079780020604752D01_DXXX,1554.4844, 283.4, 0.861, 0.033
1555ML0079800020604754D01_DXXX,1555.4884, 284.1, 0.799, 0.033
1559ML0079580020604807D01_DXXX,1559.2852, 286.5, 0.834, 0.015
1559ML0079600020604809D01_DXXX,1559.4803, 286.6, 0.760, 0.033
1559ML0079620020604814D01_DXXX,1559.6608, 286.7, 0.745, 0.019
1561ML0079640020604819D01_DXXX,1561.4795, 287.8, 0.763, 0.033
1565ML0079660020604824D01_DXXX,1565.3185, 290.3, 0.890, 0.015
1565ML0079680020604829D01_DXXX,1565.4779, 290.4, 0.797, 0.033
1568ML0079930020604862D01_DXXX,1568.5249, 292.3, 0.816, 0.033
1573ML0080060020604896D01_DXXX,1573.3154, 295.3, 0.816, 0.015
1573ML0080080020604898D01_DXXX,1573.4418, 295.3, 0.721, 0.032
1573ML0080100020604900D01_DXXX,1573.5842, 295.4, 0.703, 0.030
1576ML0080270020604915D01_DXXX,1576.5011, 297.2, 0.971, 0.034
1580ML0080450020604951D01_DXXX,1580.2878, 299.6, 0.860, 0.014
1580ML0080500020604957D01_DXXX,1580.5096, 299.7, 0.705, 0.034
1583ML0080650020604981D01_DXXX,1583.6011, 301.6, 0.768, 0.028
1585ML0080720020604993D01_DXXX,1585.3187, 302.7, 0.913, 0.016
1585ML0080780020605005D01_DXXX,1585.5725, 302.8, 0.790, 0.031
1590ML0081030020605056D01_DXXX,1590.4825, 305.8, 1.191, 0.034
1594ML0081220020605146D01_DXXX,1594.3455, 308.1, 1.018, 0.020
1595ML0081260020605156D01_DXXX,1595.5457, 308.9, 0.810, 0.033
1597ML0081350020605182D01_DXXX,1597.4785, 310.0, 1.035, 0.034
1598ML0081370020605184D01_DXXX,1598.4849, 310.6, 0.906, 0.034
1599ML0081430020505266D01_DXXX,1599.3289, 311.1, 1.104, 0.018
1599ML0081450020505270D01_DXXX,1599.4955, 311.2, 1.194, 0.034
1599ML0081470020505274D01_DXXX,1599.6357, 311.3, 0.956, 0.023
1600ML0081490020505307D01_DXXX,1600.5763, 311.9, 0.934, 0.031
1601ML0081520020505318D01_DXXX,1601.6215, 312.5, 0.927, 0.026
1602ML0081550020505445D01_DXXX,1602.2897, 312.9, 1.065, 0.014
1602ML0081590020505450D01_DXXX,1602.4978, 313.0, 1.166, 0.034
1603ML0081820020505492D01_DXXX,1603.5668, 313.7, 1.022, 0.032
1607ML0082080020505520D01_DXXX,1607.4612, 316.0, 1.030, 0.034
1608ML0082100020505525D01_DXXX,1608.3403, 316.5, 1.122, 0.019
1610ML0082340020505613D01_DXXX,1610.4781, 317.7, 1.307, 0.034
1614ML0082480020505647D01_DXXX,1614.5072, 320.1, 1.030, 0.035
1615ML0082550020505653D01_DXXX,1615.3076, 320.6, 0.993, 0.014
1617ML0082640020505668D01_DXXX,1617.4575, 321.8, 1.050, 0.034
1618ML0082710020505684D01_DXXX,1618.4755, 322.4, 1.079, 0.034
1619ML0082880020505712D01_DXXX,1619.4796, 323.0, 0.999, 0.034
1620ML0083020020505758D01_DXXX,1620.5094, 323.6, 0.941, 0.035
1621ML0083090020505763D01_DXXX,1621.3224, 324.0, 1.159, 0.016
1621ML0083130020505768D01_DXXX,1621.6327, 324.2, 1.017, 0.024
1625ML0083660020505833D01_DXXX,1625.4696, 326.4, 1.242, 0.034
1626ML0083810020505866D01_DXXX,1626.4861, 327.0, 1.293, 0.035
1628ML0084030020505902D01_DXXX,1628.3444, 328.1, 1.194, 0.020
1628ML0084120020505904D01_DXXX,1628.5804, 328.2, 1.076, 0.031
1629ML0084200020505919D01_DXXX,1629.4630, 328.7, 1.388, 0.035
1629ML0084220020505924D01_DXXX,1629.6241, 328.8, 1.103, 0.026
1635ML0084430020700071D01_DXXX,1635.3424, 332.0, 1.286, 0.020
1637ML0084560020700104D01_DXXX,1637.4111, 333.2, 1.200, 0.030
1640ML0084840020700134D01_DXXX,1640.5908, 335.0, 1.099, 0.030
1645ML0085100020700191D01_DXXX,1645.3368, 337.6, 1.280, 0.019
1645ML0085160020700198D01_DXXX,1645.6770, 337.8, 1.108, 0.017
1649ML0085340020700433D01_DXXX,1649.2928, 339.8, 1.285, 0.014
1649ML0085400020700465D01_DXXX,1649.5931, 339.9, 1.091, 0.030
1649ML0085430020700470D01_DXXX,1649.6741, 340.0, 1.084, 0.017
1653ML0085690020700506D01_DXXX,1653.6173, 342.1, 1.051, 0.027
1658ML0086040020700534D01_DXXX,1658.3083, 344.7, 1.103, 0.014
1658ML0086100020700539D01_DXXX,1658.6202, 344.8, 0.999, 0.027
1660ML0086220020700561D01_DXXX,1660.6285, 345.9, 0.992, 0.025
1663ML0086300020700569D01_DXXX,1663.4135, 347.4, 1.084, 0.030
1666ML0086490020700611D01_DXXX,1666.6370, 349.1, 0.954, 0.024
1670ML0086570020700638D01_DXXX,1670.2955, 351.0, 1.062, 0.013
1670ML0086600020700644D01_DXXX,1670.5935, 351.2, 1.005, 0.030
1673ML0086810020700688D01_DXXX,1673.6194, 352.8, 0.921, 0.026
1674ML0086870020700690D01_DXXX,1674.6685, 353.4, 0.932, 0.018
1675ML0086890020700695D01_DXXX,1675.3320, 353.7, 1.015, 0.018
1675ML0086950020700698D01_DXXX,1675.5944, 353.8, 0.941, 0.029
1679ML0087170020700774D01_DXXX,1679.6333, 356.0, 0.937, 0.024
1683ML0087510020700837D01_DXXX,1683.2771, 357.8, 0.957, 0.020
1683ML0087550020700848D01_DXXX,1683.6282, 358.0, 0.959, 0.025
1686ML0087740020700906D01_DXXX,1686.5884, 359.5, 0.949, 0.030
1690ML0087960020701084D01_DXXX,1690.6083,   1.6, 0.894, 0.027
1692ML0087980020701144D01_DXXX,1692.3390,   2.5, 0.957, 0.019
1692ML0088180020701147D01_DXXX,1692.6809,   2.6, 0.911, 0.015
1693ML0088200020701148D01_DXXX,1693.3840,   3.0, 0.937, 0.026
1693ML0088250020701172D01_DXXX,1693.6075,   3.1, 0.913, 0.028
1693ML0088280020701174D01_DXXX,1693.6467,   3.1, 0.898, 0.022
1698ML0088490020701226D01_DXXX,1698.2751,   5.5, 0.888, 0.023
1698ML0088580020701238D01_DXXX,1698.6146,   5.7, 0.924, 0.027
1698ML0088620020701249D01_DXXX,1698.7269,   5.7, 0.931, 0.025
1700ML0088690020701266D01_DXXX,1700.6428,   6.7, 0.932, 0.022
1703ML0088890020701293D01_DXXX,1703.6323,   8.2, 0.867, 0.024
1704ML0088910020701298D01_DXXX,1704.3087,   8.5, 0.869, 0.014
1707ML0089070020701321D01_DXXX,1707.6389,  10.2, 0.858, 0.023
1712ML0089270020701354D01_DXXX,1712.3025,  12.5, 0.791, 0.013
1712ML0089360020701373D01_DXXX,1712.6077,  12.6, 0.836, 0.027
1715ML0089520020701409D01_DXXX,1715.5917,  14.1, 0.827, 0.029
1716ML0089610020701411D01_DXXX,1716.3470,  14.5, 0.814, 0.020
1716ML0089680020701417D01_DXXX,1716.5840,  14.6, 0.802, 0.030
1719ML0089810020701433D01_DXXX,1719.5898,  16.1, 0.808, 0.029
1725ML0090020020701475D01_DXXX,1725.3525,  18.9, 0.776, 0.021
1725ML0090060020701501D01_DXXX,1725.6704,  19.0, 0.738, 0.017
1727ML0090200020701539D01_DXXX,1727.7007,  20.0, 0.778, 0.013
1728ML0090300020701628D01_DXXX,1728.6171,  20.5, 0.725, 0.026
1733ML0090550020701715D01_DXXX,1733.2876,  22.7, 0.701, 0.016
1738ML0090850020701790D01_DXXX,1738.2999,  25.1, 0.685, 0.013
1738ML0090880020701796D01_DXXX,1738.5850,  25.2, 0.724, 0.029
1738ML0090900020701801D01_DXXX,1738.7112,  25.3, 0.766, 0.015
1743ML0091080020701825D01_DXXX,1743.6104,  27.6, 0.682, 0.026
1745ML0091220020701855D01_DXXX,1745.6327,  28.6, 0.702, 0.023
1746ML0091240020701860D01_DXXX,1746.3198,  28.9, 0.683, 0.015
1751ML0091510020701931D01_DXXX,1751.5986,  31.4, 0.690, 0.027
1753ML0091610020701965D01_DXXX,1753.3583,  32.2, 0.684, 0.021
1755ML0091760020701982D01_DXXX,1755.6173,  33.3, 0.671, 0.025
1757ML0091840020701996D01_DXXX,1757.5934,  34.2, 0.668, 0.028
1758ML0091860020702001D01_DXXX,1758.2771,  34.5, 0.653, 0.024
1781ML0091980020702016D01_DXXX,1781.6357,  45.3, 0.655, 0.021
1785ML0092090020702036D01_DXXX,1785.3159,  47.0, 0.631, 0.014
1786ML0092190020702185D01_DXXX,1786.5900,  47.6, 0.658, 0.027
1788ML0092280020702200D01_DXXX,1788.3301,  48.4, 0.605, 0.016
1788ML0092330020702206D01_DXXX,1788.6195,  48.5, 0.627, 0.024
1791ML0092470020702255D01_DXXX,1791.6194,  49.9, 0.606, 0.023
1795ML0092670020702277D01_DXXX,1795.7041,  51.7, 0.575, 0.014
1797ML0092840020702314D01_DXXX,1797.6605,  52.6, 0.564, 0.017
1798ML0092860020702319D01_DXXX,1798.3607,  52.9, 0.603, 0.020
1801ML0092980020702358D01_DXXX,1801.6198,  54.4, 0.561, 0.023
1807ML0093310020702488D01_DXXX,1807.6522,  57.1, 0.519, 0.018
1808ML0093330020702493D01_DXXX,1808.3203,  57.4, 0.489, 0.014
1812ML0093590010702584D01_DXXX,1812.6621,  59.4, 0.510, 0.017
1813ML0093620010702591D01_DXXX,1813.2930,  59.6, 0.491, 0.015
1818ML0093770010702673D01_DXXX,1818.3372,  61.9, 0.483, 0.016
1818ML0093790010702678D01_DXXX,1818.6206,  62.0, 0.492, 0.023
1822ML0094180010702751D01_DXXX,1822.5947,  63.8, 0.507, 0.026
1825ML0094360010702762D01_DXXX,1825.3738,  65.1, 0.515, 0.022
1829ML0094660010702844D01_DXXX,1829.6503,  67.0, 0.510, 0.018
1831ML0094800010702883D01_DXXX,1831.5707,  67.9, 0.501, 0.028
1832ML0094840010702891D01_DXXX,1832.3627,  68.2, 0.516, 0.020
1836ML0096220010702958D01_DXXX,1836.4965,  70.1, 0.489, 0.031
1836ML0096280010702961D01_DXXX,1836.7189,  70.2, 0.484, 0.024
1844ML0096510010703018D01_DXXX,1844.3289,  73.6, 0.475, 0.015
1844ML0096540010703025D01_DXXX,1844.5601,  73.7, 0.491, 0.029
1844ML0096560010703031D01_DXXX,1844.7212,  73.8, 0.492, 0.027
1849ML0096690010703056D01_DXXX,1849.3224,  75.8, 0.425, 0.014
1849ML0096710010703062D01_DXXX,1849.5059,  75.9, 0.414, 0.031
1850ML0096780010703090D01_DXXX,1850.5112,  76.4, 0.442, 0.031
1866ML0097500010703164D01_DXXX,1866.4910,  83.5, 0.450, 0.031
1866ML0097560010703201D01_DXXX,1866.6736,  83.6, 0.450, 0.015
1867ML0097600010703207D01_DXXX,1867.3588,  83.9, 0.476, 0.019
1868ML0097640010703216D01_DXXX,1868.5646,  84.5, 0.436, 0.028
1871ML0097810010703309D01_DXXX,1871.5178,  85.8, 0.437, 0.030
1873ML0097980010703398D01_DXXX,1873.4819,  86.7, 0.502, 0.030
1874ML0098030010703416D01_DXXX,1874.3988,  87.1, 0.502, 0.025
1876ML0098200010703447D01_DXXX,1876.5530,  88.1, 0.443, 0.029
1878ML0098270010703469D01_DXXX,1878.6501,  89.0, 0.498, 0.018
1880ML0098480010703564D01_DXXX,1880.7186,  90.0, 0.509, 0.025
1880ML0098480030703565D01_DXXX,1880.7202,  90.0, 0.510, 0.027
1880ML0098480050703566D01_DXXX,1880.7219,  90.0, 0.516, 0.029
1880ML0098480070703567D01_DXXX,1880.7235,  90.0, 0.516, 0.032
1880ML0098480090703568D01_DXXX,1880.7252,  90.0, 0.507, 0.035
1880ML0098480110703569D01_DXXX,1880.7269,  90.0, 0.508, 0.038
1880ML0098480130703570D01_DXXX,1880.7285,  90.0, 0.504, 0.042
1886ML0098670010703592D01_DXXX,1886.2764,  92.5, 0.500, 0.032
1886ML0098710010703595D01_DXXX,1886.6342,  92.6, 0.483, 0.020
1888ML0098810010703629D01_DXXX,1888.5492,  93.5, 0.487, 0.029
1891ML0098940010703675D01_DXXX,1891.6626,  94.9, 0.461, 0.016
1893ML0099120010703698D01_DXXX,1893.5337,  95.8, 0.476, 0.030
1894ML0099140010703704D01_DXXX,1894.2894,  96.1, 0.499, 0.018
1894ML0099190010703719D01_DXXX,1894.6544,  96.3, 0.482, 0.017
1898ML0099270010703737D01_DXXX,1898.5662,  98.1, 0.480, 0.028
1903ML0099520010703941D01_DXXX,1903.3761, 100.3, 0.600, 0.022
1903ML0099600010703944D01_DXXX,1903.5499, 100.4, 0.538, 0.029
1903ML0099650010703958D01_DXXX,1903.6793, 100.5, 0.535, 0.014
1904ML0099830010703964D01_DXXX,1904.4973, 100.8, 0.545, 0.031
1907ML0100070010704010D01_DXXX,1907.5948, 102.2, 0.564, 0.026
1908ML0100090010704016D01_DXXX,1908.3740, 102.6, 0.580, 0.022
1911ML0100190010704067D01_DXXX,1911.5084, 104.1, 0.497, 0.031
1914ML0099670010704262D01_DXXX,1914.3368, 105.4, 0.537, 0.016
1914ML0099700010704269D01_DXXX,1914.6365, 105.5, 0.460, 0.020
1916ML0099720010704307D01_DXXX,1916.2960, 106.3, 0.465, 0.015
1918ML0099740010704313D01_DXXX,1918.3450, 107.2, 0.517, 0.017
1918ML0099760010704319D01_DXXX,1918.5117, 107.3, 0.529, 0.031
1918ML0099780010704325D01_DXXX,1918.6458, 107.4, 0.443, 0.019
